umur,jenis_kelamin,status_ekonomi,jarak_ke_sekolah,nilai_rata2,kehadiran,akses_internet,pendidikan_ortu,jumlah_saudara,konflik_keluarga,dukungan_orangtua,dropout
16,0,1,12.35,77.56,91.48,1,0,2,0,0,0
17,0,0,6.26,71.91,85.47,1,2,2,1,1,0
14,0,1,3.16,91.96,55.27,1,1,2,0,2,0
16,1,1,13.21,58.03,91.94,0,1,4,1,1,0
18,1,1,14.9,51.25,83.55,0,2,3,1,0,1
16,0,0,6.65,72.45,84.85,1,2,3,2,2,1
16,0,2,13.07,61.87,68.15,1,0,1,0,1,1
16,1,2,8.21,52.48,93.96,1,1,0,2,2,1
13,0,0,14.41,86.23,86.27,0,1,1,2,0,1
13,0,1,4.38,55.58,55.63,0,0,1,1,1,1
14,1,0,17.86,80.42,70.39,0,2,1,0,2,0
12,0,0,6.1,64.05,94.32,0,0,1,1,2,1
16,1,0,7.67,58.67,52.36,0,2,3,1,1,1
17,0,1,1.63,68.99,98.07,1,0,0,1,2,0
12,1,0,2.67,90.07,83.96,0,2,1,0,2,0
17,0,1,10.56,69.6,81.57,0,0,3,0,0,0
12,0,0,5.72,87.54,63.53,1,2,1,1,0,1
14,1,2,16.79,56.27,62.44,0,2,2,0,0,1
16,0,0,0.79,88.64,97.1,0,2,1,1,0,1
16,1,0,7.89,61.85,64.91,0,2,1,0,0,1
15,0,2,7.08,83.87,88.78,1,2,4,0,0,0
17,1,1,0.88,78.29,69.66,0,1,2,2,1,1
12,1,1,2.93,96.46,56.96,1,2,0,1,0,1
12,1,0,8.57,69.37,50.54,1,1,1,2,2,1
13,1,2,10.11,53.31,77.21,0,2,0,2,1,1
15,0,1,8.38,50.96,98.79,0,1,2,1,2,0
18,0,0,10.85,91.34,68.46,0,1,1,1,0,1
18,1,2,12.11,76.24,67.86,0,0,4,0,0,1
13,1,1,0.69,88.76,67.2,1,2,3,1,2,0
13,1,1,9.55,61.72,76.03,0,0,4,2,2,1
13,0,2,19.29,67.25,72.03,1,0,4,2,2,0
17,0,2,10.62,51.51,94.0,1,2,3,1,1,0
17,0,2,13.71,98.07,75.28,1,0,3,2,0,1
14,0,2,6.58,83.39,75.39,1,2,3,0,2,0
14,1,0,15.59,96.66,56.92,1,0,1,2,0,1
13,1,2,15.57,63.27,99.14,0,2,0,0,2,0
15,1,1,10.67,80.57,62.5,1,2,0,2,0,1
12,0,1,19.53,83.92,53.67,1,2,3,0,1,0
17,0,0,2.95,65.88,83.16,0,1,4,0,0,1
15,0,1,0.83,92.41,79.77,0,0,2,1,2,0
16,1,1,15.52,97.36,70.76,1,1,3,0,0,0
17,1,2,16.24,94.24,71.11,1,0,4,1,1,0
17,0,1,2.84,86.95,89.25,0,0,4,2,1,0
14,1,0,5.68,63.87,59.79,1,0,1,2,0,1
12,0,2,0.84,64.08,91.01,0,1,1,2,2,1
12,0,2,6.22,98.17,82.44,0,0,0,0,1,0
18,1,0,15.58,50.51,70.95,1,1,0,2,1,1
18,0,2,10.6,85.8,72.9,0,2,2,2,0,1
18,1,2,7.29,85.31,62.83,1,0,2,1,1,0
18,0,0,7.75,81.13,87.61,1,0,2,1,1,0
16,1,2,0.53,99.51,75.64,1,2,2,2,2,0
16,1,0,6.35,65.59,66.04,0,2,4,2,2,1
17,1,0,13.11,67.0,79.8,1,0,4,0,2,0
13,0,1,19.5,53.95,99.79,0,2,0,0,0,1
14,0,1,17.02,72.14,71.76,1,1,1,2,1,0
14,1,2,0.96,63.05,96.03,1,1,1,1,0,1
18,1,2,18.02,67.17,67.25,0,0,3,2,1,1
17,0,0,15.77,91.73,52.74,1,1,4,0,1,1
15,0,2,15.72,96.77,60.21,1,1,2,1,1,0
13,0,0,9.43,59.29,70.93,0,0,2,1,2,1
17,1,0,8.26,68.63,60.98,0,2,3,0,0,1
13,0,2,6.41,96.43,50.01,0,0,1,2,0,1
13,0,0,1.78,53.09,95.75,1,1,2,2,1,1
13,1,1,4.95,54.62,92.19,0,0,1,2,0,1
17,0,2,5.31,58.14,87.11,0,0,3,0,2,0
18,0,1,9.94,79.76,58.39,1,1,1,1,0,1
14,0,2,15.08,57.52,56.02,0,1,1,0,1,1
14,1,0,9.74,98.4,53.38,1,0,1,2,2,1
18,1,2,1.63,72.34,86.2,1,1,2,0,2,0
13,1,1,19.18,75.08,96.44,0,1,0,1,1,0
15,1,0,18.88,62.33,71.53,1,1,4,0,0,1
12,1,2,15.81,73.55,55.96,0,1,1,2,1,1
17,1,2,19.83,83.1,75.62,0,1,1,1,0,0
12,1,2,11.12,87.56,67.44,0,1,1,0,0,1
18,0,1,19.27,87.69,68.74,0,2,0,0,2,0
15,0,1,1.97,78.89,81.07,1,0,3,1,1,0
17,1,2,7.63,95.22,85.94,1,1,2,1,2,0
